waveform,[0],PXI1Slot7/ai0
t0,12/31/1903  19:00:00.000000,12/14/2017  03:38:55.524437
delta t,5.000000E-7,5.000000E-7

time,Y[0],PXI1Slot7/ai0
12/31/1903  19:00:00.000140,9.863789E-2,-1.264757E-2
12/31/1903  19:00:00.000141,8.112088E-2,-1.239722E-2
12/31/1903  19:00:00.000141,1.557440E-2,-1.239722E-2
12/31/1903  19:00:00.000142,-5.919457E-2,-1.199041E-2
12/31/1903  19:00:00.000142,-9.891477E-2,-1.142713E-2
12/31/1903  19:00:00.000143,-8.006456E-2,-1.158359E-2
12/31/1903  19:00:00.000143,-1.380314E-2,-1.308567E-2
12/31/1903  19:00:00.000144,6.063327E-2,-1.443129E-2
12/31/1903  19:00:00.000144,9.916362E-2,-1.336731E-2
12/31/1903  19:00:00.000145,7.896734E-2,-1.242851E-2
12/31/1903  19:00:00.000145,1.200251E-2,-1.258498E-2
12/31/1903  19:00:00.000146,-6.207209E-2,-1.296050E-2
12/31/1903  19:00:00.000146,-9.938301E-2,-1.327343E-2
12/31/1903  19:00:00.000147,-7.782848E-2,-1.261627E-2
12/31/1903  19:00:00.000147,-1.017291E-2,-1.255369E-2
12/31/1903  19:00:00.000148,6.350973E-2,-1.249110E-2
12/31/1903  19:00:00.000148,9.957151E-2,-1.252239E-2
12/31/1903  19:00:00.000149,7.664728E-2,-1.249110E-2
12/31/1903  19:00:00.000149,8.314824E-3,-1.233463E-2
12/31/1903  19:00:00.000150,-6.494480E-2,-1.211558E-2
12/31/1903  19:00:00.000150,-9.972766E-2,-1.211558E-2
12/31/1903  19:00:00.000151,-7.542308E-2,-1.252239E-2
12/31/1903  19:00:00.000151,-6.428760E-3,-1.358637E-2
12/31/1903  19:00:00.000152,6.637591E-2,-1.361766E-2
12/31/1903  19:00:00.000152,9.984999E-2,-1.324214E-2
12/31/1903  19:00:00.000153,7.415521E-2,-1.220946E-2
12/31/1903  19:00:00.000153,4.515289E-3,-1.167747E-2
12/31/1903  19:00:00.000154,-6.780160E-2,-1.289791E-2
12/31/1903  19:00:00.000154,-9.993702E-2,-1.371154E-2
12/31/1903  19:00:00.000155,-7.284308E-2,-1.242851E-2
12/31/1903  19:00:00.000155,-2.575036E-3,-1.202170E-2
12/31/1903  19:00:00.000156,6.922036E-2,-1.233463E-2
12/31/1903  19:00:00.000156,9.998728E-2,-1.267886E-2
12/31/1903  19:00:00.000157,7.148609E-2,-1.330473E-2
12/31/1903  19:00:00.000157,6.086798E-4,-1.339861E-2
12/31/1903  19:00:00.000158,-7.063066E-2,-1.374283E-2
